base,0,0,96.6,3.7061179704994,14336,173.482
50,0,50,94.2,3.82601016222192,11776,165.667
80,0,80,93.5,3.76145282821748,8089.6,158.733
90,0,90,93.4,3.70084798405006,6860.8,114.077
95,0,95,94.2,3.67581554841568,6246.4,109.648
Quant,1,0,94.4,3.54406588718215,4096,83.178
